07-Dec-19 17:05:27 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -61.000000, C: 1.806214, Rx: -63] is 1.290413
07-Dec-19 17:05:27 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -61.000000, C: 1.861961, Rx: -76] is 6.391494
07-Dec-19 17:05:27 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -63.000000, C: 1.482360, Rx: -78] is 10.277798
07-Dec-19 17:05:27 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -55.000000, C: 1.983126, Rx: -68] is 4.524084
07-Dec-19 17:05:30 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -61.000000, C: 1.806214, Rx: -61] is 1.000000
07-Dec-19 17:05:30 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -61.000000, C: 1.861961, Rx: -73] is 4.410440
07-Dec-19 17:05:30 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -55.000000, C: 1.983126, Rx: -67] is 4.028147
07-Dec-19 17:05:30 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -63.000000, C: 1.482360, Rx: -73] is 4.727157
07-Dec-19 17:05:33 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -61.000000, C: 1.806214, Rx: -60] is 0.880310
07-Dec-19 17:05:33 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -61.000000, C: 1.861961, Rx: -74] is 4.991013
07-Dec-19 17:05:33 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -55.000000, C: 1.983126, Rx: -70] is 5.706655
07-Dec-19 17:05:33 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -63.000000, C: 1.482360, Rx: -82] is 19.131105
07-Dec-19 17:05:37 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -61.000000, C: 1.806214, Rx: -63] is 1.290413
07-Dec-19 17:05:37 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -61.000000, C: 1.861961, Rx: -74] is 4.991013
07-Dec-19 17:05:37 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -55.000000, C: 1.983126, Rx: -69] is 5.081081
07-Dec-19 17:05:37 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -63.000000, C: 1.482360, Rx: -79] is 12.004940
07-Dec-19 17:05:39 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -61.000000, C: 1.806214, Rx: -62] is 1.135964
07-Dec-19 17:05:39 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -61.000000, C: 1.861961, Rx: -74] is 4.991013
07-Dec-19 17:05:39 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -55.000000, C: 1.983126, Rx: -69] is 5.081081
07-Dec-19 17:05:40 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -63.000000, C: 1.482360, Rx: -78] is 10.277798
07-Dec-19 17:05:42 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -61.000000, C: 1.806214, Rx: -57] is 0.600541
07-Dec-19 17:05:42 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -61.000000, C: 1.861961, Rx: -76] is 6.391494
07-Dec-19 17:05:42 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -55.000000, C: 1.983126, Rx: -65] is 3.193408
07-Dec-19 17:05:42 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -63.000000, C: 1.482360, Rx: -74] is 5.521537
07-Dec-19 17:05:46 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -61.000000, C: 1.806214, Rx: -58] is 0.682192
07-Dec-19 17:05:46 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -61.000000, C: 1.861961, Rx: -77] is 7.232846
07-Dec-19 17:05:46 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -55.000000, C: 1.983126, Rx: -74] is 9.079947
07-Dec-19 17:05:46 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -63.000000, C: 1.482360, Rx: -88] is 48.584763
07-Dec-19 17:05:49 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -61.000000, C: 1.806214, Rx: -62] is 1.135964
07-Dec-19 17:05:49 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -61.000000, C: 1.861961, Rx: -84] is 17.189249
07-Dec-19 17:05:49 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -55.000000, C: 1.983126, Rx: -70] is 5.706655
07-Dec-19 17:05:49 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -63.000000, C: 1.482360, Rx: -87] is 41.594894
07-Dec-19 17:05:52 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -61.000000, C: 1.861961, Rx: -80] is 10.481649
07-Dec-19 17:05:52 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -61.000000, C: 1.806214, Rx: -63] is 1.290413
07-Dec-19 17:05:52 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -55.000000, C: 1.983126, Rx: -68] is 4.524084
07-Dec-19 17:05:52 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -63.000000, C: 1.482360, Rx: -85] is 30.487373
07-Dec-19 17:05:55 - LOG - opCoeff computed distance to SE: 1 with values [Tx: -61.000000, C: 1.806214, Rx: -61] is 1.000000
07-Dec-19 17:05:55 - LOG - opCoeff computed distance to SE: 2 with values [Tx: -61.000000, C: 1.861961, Rx: -74] is 4.991013
07-Dec-19 17:05:55 - LOG - opCoeff computed distance to SE: 3 with values [Tx: -55.000000, C: 1.983126, Rx: -64] is 2.843341
07-Dec-19 17:05:55 - LOG - opCoeff computed distance to SE: 4 with values [Tx: -63.000000, C: 1.482360, Rx: -78] is 10.277798
